Dataset error_rate  F-Score             AUC
cpu4    0.1         0.9750423011844332  0.8833962588690604
g       0.1         0.9096127015523727  0.8633461025224208
server6 0.1         0.9719743885798259  0.8737336767862406
server1 0.1         0.9647211133887151  0.8633461025224208
cpu4    0.01        0.996662740478995   0.8798092227012037
server6 0.01        0.9980403684107387  0.9190723176216946
server1 0.01        0.9885355398265377  0.8113385314405656
g       0.01        0.9449562263164771  0.48235403586316267

anomaly point 0.1
Dataset     z_dims      F-Score             AUC
cpu4        1           0.9508027995059695  0.6450727401158779
cpu4        2           0.9576998655496949  0.7782664567685073
cpu4        3           0.9722696245733788  0.878024162180664
cpu4        4           0.9710236886632826  0.8877646382836695
cpu4        5           0.9750423011844332  0.8833962588690604
cpu4        8           0.9715317612067134  0.8855824357766251
cpu4        13          0.9709684255138801  0.872391698064391
cpu4        21          0.9738762559492332  0.8919888995917619
server6     1           0.9535539087777893  0.742098516987851
server6     2           0.9613653020626113  0.8215057333525667
server6     3           0.9578116780641768  0.851903042384372
server6     4           0.9725896920309027  0.8847995448677984
server6     5           0.9682001271994911  0.8780837851603774
server6     8           0.9720361509835195  0.8921071351251044
server6     13          0.9744671871702891  0.8780116880716208
server6     21          0.9744077834179358  0.8838122684916034
server61    1           0.941881240147136   0.6660615275172092
server61    2           0.9545647558386412  0.7749682330883593
server61    3           0.9513984898436669  0.8009312834271795
server61    4           0.960921520077511   0.8637323238007912
server61    5           0.9612536224106473  0.8540734164374129
server61    8           0.9649780443397236  0.853804498900726
server61    13          0.9657900363480862  0.847041821942054
server61    21          0.9671130155329406  0.846730591983848
